title,genres,director,overview,text_stopword,text_clean
Martian Child,['Drama'],Menno Meyjes,"A recently-widowed, science fiction writer considers whether to adopt a hyper-imaginative 6-year-old abandoned and socially-rejected boy who says he's really from Mars.","['recentlywidowed', 'science', 'fiction', 'writer', 'consider', 'whether', 'adopt', 'hyperimaginative', '6yearold', 'abandon', 'sociallyrejected', 'boy', 'say', 'really', 'mar']",recentlywidowed science fiction writer consider whether adopt hyperimaginative 6yearold abandon sociallyrejected boy say really mar
Spy Kids: All the Time in the World,"['Family', 'Comedy', 'Action']",Robert Rodriguez,"Eight years after the third film, the OSS has become the world's top spy agency, while the Spy Kids department has since become defunct. A retired spy Marissa (Jessica Alba) is thrown back into the action along with her stepchildren when a maniacal Timekeeper (Jeremy Piven) attempts to take over the world. In order to save the world, Rebecca (Rowan Blanchard) and Cecil (Mason Cook) must team up with their hated stepmother. Carmen and Juni have since also grown up and will provide gadgets to them.","['eight', 'year', 'third', 'film', 'os', 'become', 'world', 'top', 'spy', 'agency', 'spy', 'kid', 'department', 'since', 'become', 'defunct', 'retired', 'spy', 'marissa', 'jessica', 'alba', 'throw', 'back', 'action', 'along', 'stepchild', 'maniacal', 'timekeeper', 'jeremy', 'piven', 'attempt', 'take', 'world', 'order', 'save', 'world', 'rebecca', 'rowan', 'blanchard', 'cecil', 'mason', 'cook', 'must', 'team', 'hat', 'stepmother', 'carmen', 'juni', 'since', 'also', 'grow', 'provide', 'gadget']",eight year third film become world top spy agency spy kid department since become defunct retired spy marissa jessica alba throw back action along stepchild maniacal timekeeper jeremy piven attempt take world order save world rebecca rowan blanchard cecil mason cook must team hat stepmother carmen juni since also grow provide gadget
Money Monster,['Thriller'],Jodie Foster,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio.,"['financial', 'tv', 'host', 'lee', 'gate', 'producer', 'patty', 'put', 'extreme', 'situation', 'irate', 'investor', 'take', 'studio']",financial host lee gate producer patty put extreme situation irate investor take studio
The 51st State,"['Thriller', 'Action', 'Comedy']",Ronny Yu,"Elmo McElroy is a streetwise American master chemist who heads to England to sell his special new formula - a powerful, blue concoction guaranteed to take you to 'the 51st state.' McElroy's new product delivers a feeling 51 times more powerful than any thrill, any pleasure, any high in history. But his plans for a quick, profitable score go comically awry when he gets stuck in Liverpool with an unlikely escort and his ex-girlfriend and becomes entangled in a bizarre web of double-dealing and double-crosses.","['elmo', 'mcelroy', 'streetwise', 'american', 'master', 'chemist', 'head', 'england', 'sell', 'special', 'new', 'formula', 'powerful', 'blue', 'concoction', 'guarantee', 'take', '51st', 'state', 'mcelroys', 'new', 'product', 'deliver', 'feeling', '51', 'time', 'powerful', 'thrill', 'pleasure', 'high', 'history', 'plan', 'quick', 'profitable', 'score', 'go', 'comically', 'awry', 'get', 'stick', 'liverpool', 'unlikely', 'escort', 'exgirlfriend', 'become', 'entangle', 'bizarre', 'web', 'doubledealing', 'doublecrosses']",elmo mcelroy streetwise american master chemist head england sell special new formula powerful blue concoction guarantee take 51st state mcelroys new product deliver feeling time powerful thrill pleasure high history plan quick profitable score comically awry get stick liverpool unlikely escort exgirlfriend become entangle bizarre web doubledealing doublecrosses
Flawless,"['Comedy', 'Drama']",Joel Schumacher,An ultraconservative police officer suffers a debilitating stroke and is assigned to a rehabilitative program that includes singing lessons - with the drag queen next door.,"['ultraconservative', 'police', 'officer', 'suffer', 'debilitate', 'stroke', 'assign', 'rehabilitative', 'program', 'include', 'sing', 'lesson', 'drag', 'queen', 'next', 'door']",ultraconservative police officer suffer debilitate stroke assign rehabilitative program include sing lesson drag queen next door
Mindhunters,"['Mystery', 'Thriller', 'Crime']",Renny Harlin,Trainees in the FBI's psychological profiling program must put their training into practice when they discover a killer in their midst.,"['trainee', 'fbis', 'psychological', 'profiling', 'program', 'must', 'put', 'training', 'practice', 'discover', 'killer', 'midst']",trainee fbis psychological profiling program must put training practice discover killer midst
What Just Happened,"['Comedy', 'Drama']",Barry Levinson,"During the course of an ordinary week in Hollywood, movie producer Ben (Robert De Niro) must navigate his way through shark-infested waters as he struggles to complete his latest projects. A demanding studio boss (Catherine Keener) demands extensive changes to a movie starring Sean Penn, while another chief won't greenlight a project unless star Bruce Willis shaves his beard. Meanwhile, Ben tries to reconcile with his wife and maintain a relationship with his young daughter.","['course', 'ordinary', 'week', 'hollywood', 'movie', 'producer', 'ben', 'robert', 'de', 'niro', 'must', 'navigate', 'way', 'sharkinfested', 'water', 'struggle', 'complete', 'late', 'project', 'demanding', 'studio', 'bos', 'catherine', 'keener', 'demand', 'extensive', 'change', 'movie', 'star', 'sean', 'penn', 'another', 'chief', 'wont', 'greenlight', 'project', 'unless', 'star', 'bruce', 'willis', 'shave', 'beard', 'meanwhile', 'ben', 'try', 'reconcile', 'wife', 'maintain', 'relationship', 'young', 'daughter']",course ordinary week hollywood movie producer ben robert niro must navigate way sharkinfested water struggle complete late project demanding studio bos catherine keener demand extensive change movie star sean penn another chief wont greenlight project unless star bruce willis shave beard meanwhile ben try reconcile wife maintain relationship young daughter
The Statement,"['Drama', 'Thriller']",Norman Jewison,"The film is set in France in the 1990s, the French were defeated by the Germans early in World War II, an armistice was signed in 1940 which effectively split France into a German occupied part in the North and a semi-independent part in the south which became known as Vichy France. In reality the Vichy government was a puppet regime controlled by the Germans. Part of the agreement was that the Vichy Government would assist with the 'cleansing' of Jews from France. The Vichy government formed a police force called the Milice, who worked with the Germans...","['film', 'set', 'france', '1990s', 'french', 'defeat', 'german', 'early', 'world', 'war', 'ii', 'armistice', 'sign', '1940', 'effectively', 'split', 'france', 'german', 'occupied', 'part', 'north', 'semiindependent', 'part', 'south', 'become', 'know', 'vichy', 'france', 'reality', 'vichy', 'government', 'puppet', 'regime', 'control', 'german', 'part', 'agreement', 'vichy', 'government', 'would', 'assist', 'cleansing', 'jew', 'france', 'vichy', 'government', 'form', 'police', 'force', 'call', 'milice', 'work', 'german']",film set france 1990s french defeat german early world war armistice sign 1940 effectively split france german occupied part north semiindependent part south become know vichy france reality vichy government puppet regime control german part agreement vichy government would assist cleansing jew france vichy government form police force call milice work german
The Magic Flute,"['Comedy', 'Drama', 'Music']",Kenneth Branagh,"During World War I, in an unnamed country, a soldier named Tamino is sent by the Queen of the Night to rescue her daughter Pamina from the clutches of the supposedly evil Sarastro. But all is not as it seems.","['world', 'war', 'unnamed', 'country', 'soldier', 'name', 'tamino', 'send', 'queen', 'night', 'rescue', 'daughter', 'pamina', 'clutch', 'supposedly', 'evil', 'sarastro', 'seem']",world war unnamed country soldier name tamino send queen night rescue daughter pamina clutch supposedly evil sarastro seem
Paul Blart: Mall Cop,"['Action', 'Adventure', 'Comedy']",Steve Carr,"Mild-mannered Paul Blart (Kevin James) has always had huge dreams of becoming a State Trooper. Until then, he patrols the local mall as a security guard. With his closely cropped moustache, personal transporter and gung-ho attitude, only Blart seems to take his job seriously. All that changes when a team of thugs raids the mall and takes hostages. Untrained, unarmed and a super-size target, Blart has to become a real cop to save the day.","['mildmannered', 'paul', 'blart', 'kevin', 'james', 'always', 'huge', 'dream', 'become', 'state', 'trooper', 'patrol', 'local', 'mall', 'security', 'guard', 'closely', 'crop', 'moustache', 'personal', 'transporter', 'gungho', 'attitude', 'blart', 'seem', 'take', 'job', 'seriously', 'change', 'team', 'thug', 'raid', 'mall', 'take', 'hostage', 'untrained', 'unarmed', 'supersize', 'target', 'blart', 'become', 'real', 'cop', 'save', 'day']",mildmannered paul blart kevin james always huge dream become state trooper patrol local mall security guard closely crop moustache personal transporter gungho attitude blart seem take job seriously change team thug raid mall take hostage untrained unarmed supersize target blart become real cop save day
Freaky Friday,['Comedy'],Mark Waters,"Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancé. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives.","['mother', 'daughter', 'bicker', 'everything', 'anna', 'wear', 'like', 'want', 'shes', 'older', 'turn', 'anna', 'detests', 'tesss', 'fiancé', 'magical', 'fortune', 'cookie', 'switch', 'personality', 'get', 'peek', 'person', 'feel', 'think', 'life']",mother daughter bicker everything anna wear like want shes older turn anna detests tesss fiancé magical fortune cookie switch personality get peek person feel think life
The 40 Year Old Virgin,"['Comedy', 'Romance']",Judd Apatow,"Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40, there's one thing Andy hasn't done, and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid, the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish, a single mom.","['andy', 'stitzer', 'pleasant', 'life', 'nice', 'apartment', 'job', 'stamp', 'invoice', 'electronics', 'store', 'age', '40', 'theres', 'one', 'thing', 'andy', 'hasnt', 'really', 'bother', 'sexobsessed', 'male', 'coworkers', 'andy', 'still', 'virgin', 'determine', 'help', 'andy', 'get', 'lay', 'guy', 'make', 'mission', 'devirginize', 'seem', 'hopeless', 'andy', 'meet', 'small', 'business', 'owner', 'trish', 'single', 'mom']",andy stitzer pleasant life nice apartment job stamp invoice electronics store age theres one thing andy hasnt really bother sexobsessed male coworkers andy still virgin determine help andy get lay guy make mission devirginize seem hopeless andy meet small business owner trish single mom
Shakespeare in Love,"['Romance', 'History']",John Madden,"Young Shakespeare is forced to stage his latest comedy, ""Romeo and Ethel, the Pirate's Daughter,"" before it's even written. When a lovely noblewoman auditions for a role, they fall into forbidden love -- and his play finds a new life (and title). As their relationship progresses, Shakespeare's comedy soon transforms into tragedy.","['young', 'shakespeare', 'force', 'stage', 'late', 'comedy', 'romeo', 'ethel', 'pirate', 'daughter', 'even', 'write', 'lovely', 'noblewoman', 'audition', 'role', 'fall', 'forbidden', 'love', 'play', 'find', 'new', 'life', 'title', 'relationship', 'progress', 'shakespeares', 'comedy', 'soon', 'transforms', 'tragedy']",young shakespeare force stage late comedy romeo ethel pirate daughter even write lovely noblewoman audition role fall forbidden love play find new life title relationship progress shakespeares comedy soon transforms tragedy
A Walk Among the Tombstones,"['Crime', 'Drama', 'Mystery']",Scott Frank,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,"['private', 'investigator', 'matthew', 'scudder', 'hire', 'drug', 'kingpin', 'find', 'kidnap', 'murder', 'wife']",private investigator matthew scudder hire drug kingpin find kidnap murder wife
Kindergarten Cop,['Comedy'],Ivan Reitman,"Hard-edged cop John Kimble gets more than he bargained for when he goes undercover as a kindergarten teacher to get the goods on a brutal drug lord while at the same time protecting the man's young son. Pitted against a class of boisterous moppets whose antics try his patience and test his mettle, Kimble may have met his match … in more ways than one.","['hardedged', 'cop', 'john', 'kimble', 'get', 'bargain', 'go', 'undercover', 'kindergarten', 'teacher', 'get', 'good', 'brutal', 'drug', 'lord', 'time', 'protect', 'man', 'young', 'son', 'pit', 'class', 'boisterous', 'moppet', 'whose', 'antic', 'try', 'patience', 'test', 'mettle', 'kimble', 'may', 'meet', 'match', 'way', 'one']",hardedged cop john kimble get bargain undercover kindergarten teacher get good brutal drug lord time protect man young son pit class boisterous moppet whose antic try patience test mettle kimble may meet match way one
Pineapple Express,"['Action', 'Comedy']",David Gordon Green,A stoner and his dealer are forced to go on the run from the police after the pothead witnesses a cop commit a murder.,"['stoner', 'dealer', 'force', 'go', 'run', 'police', 'pothead', 'witness', 'cop', 'commit', 'murder']",stoner dealer force run police pothead witness cop commit murder
Ever After: A Cinderella Story,"['Drama', 'Romance', 'Comedy']",Andy Tennant,"A unique 16th century woman, Danielle possesses a love of books, and can easily quote from Sir Thomas More’s Utopia. An intriguing mix of tomboyish athleticism and physical beauty, she has more than enough charm to capture the heart of a prince ... after beaning him with an apple.","['unique', '16th', 'century', 'woman', 'danielle', 'possess', 'love', 'book', 'easily', 'quote', 'sir', 'thomas', 'utopia', 'intriguing', 'mix', 'tomboyish', 'athleticism', 'physical', 'beauty', 'enough', 'charm', 'capture', 'heart', 'prince', 'bean', 'apple']",unique 16th century woman danielle possess love book easily quote sir thomas utopia intriguing mix tomboyish athleticism physical beauty enough charm capture heart prince bean apple
Open Range,['Western'],Kevin Costner,A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.,"['former', 'gunslinger', 'force', 'take', 'arm', 'cattle', 'crew', 'threaten', 'corrupt', 'lawman']",former gunslinger force take arm cattle crew threaten corrupt lawman
Flatliners,"['Drama', 'Horror', 'Science Fiction']",Joel Schumacher,"Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life. A science fiction thriller from the early 1990's with a star studded cast.","['five', 'medical', 'student', 'want', 'find', 'life', 'death', 'plan', 'stop', 'one', 'heart', 'second', 'thus', 'simulate', 'death', 'bring', 'person', 'back', 'life', 'science', 'fiction', 'thriller', 'early', '1990s', 'star', 'stud', 'cast']",five medical student want find life death plan stop one heart second thus simulate death bring person back life science fiction thriller early 1990s star stud cast
A Bridge Too Far,"['Drama', 'History', 'War']",Richard Attenborough,Tells the story of operation Market Garden. A failed attempt by the allies in the latter stages of WWII to end the war quickly by securing three bridges in Holland allowing access over the Rhine into Germany. A combination of poor allied intelligence and the presence of two crack German panzer divisions meant that the final part of this operation (the bridge in Arnhem over the Rhine) was doomed to failure.,"['tell', 'story', 'operation', 'market', 'garden', 'failed', 'attempt', 'ally', 'latter', 'stage', 'wwii', 'end', 'war', 'quickly', 'secure', 'three', 'bridge', 'holland', 'allow', 'access', 'rhine', 'germany', 'combination', 'poor', 'allied', 'intelligence', 'presence', 'two', 'crack', 'german', 'panzer', 'division', 'mean', 'final', 'part', 'operation', 'bridge', 'arnhem', 'rhine', 'doom', 'failure']",tell story operation market garden failed attempt ally latter stage wwii end war quickly secure three bridge holland allow access rhine germany combination poor allied intelligence presence two crack german panzer division mean final part operation bridge arnhem rhine doom failure
Red Eye,"['Horror', 'Thriller']",Wes Craven,"After attending the funeral of her grandmother in Dallas, the Lux Atlantic Hotel manager Lisa is waiting for a flight to Miami. Due to the bad weather and consequent flight delay, she meets in the airport bar Jack Rippner, who is also in the waiting list. They sit together in the plane, and Jack reveals that he wants Lisa to change the room in Lux of an important American politician to facilitate a terrorist attempt against him. Otherwise, Lisa's father will be killed by a hit man. Lisa has to decide what to do with the menacing man at her side.","['attend', 'funeral', 'grandmother', 'dallas', 'lux', 'atlantic', 'hotel', 'manager', 'lisa', 'wait', 'flight', 'miami', 'due', 'bad', 'weather', 'consequent', 'flight', 'delay', 'meet', 'airport', 'bar', 'jack', 'rippner', 'also', 'wait', 'list', 'sit', 'together', 'plane', 'jack', 'reveals', 'want', 'lisa', 'change', 'room', 'lux', 'important', 'american', 'politician', 'facilitate', 'terrorist', 'attempt', 'otherwise', 'lisas', 'father', 'kill', 'hit', 'man', 'lisa', 'decide', 'menace', 'man', 'side']",attend funeral grandmother dallas lux atlantic hotel manager lisa wait flight miami due bad weather consequent flight delay meet airport bar jack rippner also wait list sit together plane jack reveals want lisa change room lux important american politician facilitate terrorist attempt otherwise lisas father kill hit man lisa decide menace man side
Final Destination 2,"['Horror', 'Mystery']",David R. Ellis,"When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next.","['kimberly', 'violent', 'premonition', 'highway', 'pileup', 'block', 'freeway', 'keep', 'others', 'mean', 'die', 'safeor', 'survivor', 'mysteriously', 'start', 'die', 'kimberly', 'stop', 'shes', 'next']",kimberly violent premonition highway pileup block freeway keep others mean die safeor survivor mysteriously start die kimberly stop shes next
"O Brother, Where Art Thou?","['Action', 'Adventure', 'Comedy']",Joel Coen,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.","['deep', 'south', '1930s', 'three', 'escape', 'convict', 'search', 'hidden', 'treasure', 'relentless', 'lawman', 'pursue', 'journey', 'come', 'across', 'many', 'comical', 'character', 'incredible', 'situation', 'base', 'upon', 'homer', 'odyssey']",deep south 1930s three escape convict search hidden treasure relentless lawman pursue journey come across many comical character incredible situation base upon homer odyssey
Legion,['Horror'],Scott Stewart,"When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael.","['god', 'lose', 'faith', 'humankind', 'send', 'legion', 'angel', 'bring', 'apocalypse', 'humanitys', 'hope', 'survival', 'lie', 'group', 'stranger', 'trap', 'outoftheway', 'desert', 'diner', 'archangel', 'michael']",god lose faith humankind send legion angel bring apocalypse humanitys hope survival lie group stranger trap outoftheway desert diner archangel michael
Pain & Gain,"['Thriller', 'Crime', 'Action']",Michael Bay,"Daniel Lugo, manager of the Sun Gym in 1990s Miami, decides that there is only one way to achieve his version of the American dream: extortion. To achieve his goal, he recruits musclemen Paul and Adrian as accomplices. After several failed attempts, they abduct rich businessman Victor Kershaw and convince him to sign over all his assets to them. But when Kershaw makes it out alive, authorities are reluctant to believe his story.","['daniel', 'lugo', 'manager', 'sun', 'gym', '1990s', 'miami', 'decides', 'one', 'way', 'achieve', 'version', 'american', 'dream', 'extortion', 'achieve', 'goal', 'recruit', 'muscleman', 'paul', 'adrian', 'accomplice', 'several', 'fail', 'attempt', 'abduct', 'rich', 'businessman', 'victor', 'kershaw', 'convince', 'sign', 'asset', 'kershaw', 'make', 'alive', 'authority', 'reluctant', 'believe', 'story']",daniel lugo manager sun gym 1990s miami decides one way achieve version american dream extortion achieve goal recruit muscleman paul adrian accomplice several fail attempt abduct rich businessman victor kershaw convince sign asset kershaw make alive authority reluctant believe story
In Good Company,"['Comedy', 'Drama', 'Romance']",Paul Weitz,"Dan Foreman is a seasoned advertisement sales executive at a high-ranking publication when a corporate takeover results in him being placed under naive supervisor Carter Duryea, who is half his age. Matters are made worse when Dan's new supervisor becomes romantically involved with his daughter an 18 year-old college student Alex.","['dan', 'foreman', 'seasoned', 'advertisement', 'sale', 'executive', 'highranking', 'publication', 'corporate', 'takeover', 'result', 'place', 'naive', 'supervisor', 'carter', 'duryea', 'half', 'age', 'matter', 'make', 'bad', 'dans', 'new', 'supervisor', 'become', 'romantically', 'involve', 'daughter', '18', 'yearold', 'college', 'student', 'alex']",dan foreman seasoned advertisement sale executive highranking publication corporate takeover result place naive supervisor carter duryea half age matter make bad dans new supervisor become romantically involve daughter yearold college student alex
Clockstoppers,"['Adventure', 'Family', 'Science Fiction']",Jonathan Frakes,"Until now, Zak Gibbs' greatest challenge has been to find a way to buy a car. But when he discovers an odd wristwatch amidst his father's various inventions and slips it on -- something very strange happens. The world around him seems to come to a stop, everything and everybody frozen in time. Zak quickly learns how to manipulate the device and he and his quick-witted and beautiful new friend, Francesca, start to have some real fun.","['zak', 'gibbs', 'great', 'challenge', 'find', 'way', 'buy', 'car', 'discover', 'odd', 'wristwatch', 'amidst', 'father', 'various', 'invention', 'slip', 'something', 'strange', 'happen', 'world', 'around', 'seem', 'come', 'stop', 'everything', 'everybody', 'freeze', 'time', 'zak', 'quickly', 'learn', 'manipulate', 'device', 'quickwitted', 'beautiful', 'new', 'friend', 'francesca', 'start', 'real', 'fun']",zak gibbs great challenge find way buy car discover odd wristwatch amidst father various invention slip something strange happen world around seem come stop everything everybody freeze time zak quickly learn manipulate device quickwitted beautiful new friend francesca start real fun
Silverado,"['Action', 'Crime', 'Drama']",Lawrence Kasdan,"Four unwitting heroes cross paths on their journey to the sleepy town of Silverado. Little do they know the town where their family and friends reside has been taken over by a corrupt sheriff and a murderous posse. It's up to the sharp-shooting foursome to save the day, but first they have to break each other out of jail, and learn who their real friends are.","['four', 'unwitting', 'hero', 'cross', 'path', 'journey', 'sleepy', 'town', 'silverado', 'little', 'know', 'town', 'family', 'friend', 'reside', 'take', 'corrupt', 'sheriff', 'murderous', 'posse', 'sharpshoot', 'foursome', 'save', 'day', 'first', 'break', 'jail', 'learn', 'real', 'friend']",four unwitting hero cross path journey sleepy town silverado little know town family friend reside take corrupt sheriff murderous posse sharpshoot foursome save day first break jail learn real friend
Brothers,"['Drama', 'Thriller', 'War']",Jim Sheridan,"When his helicopter goes down during his fourth tour of duty in Afghanistan, Marine Sam Cahill is presumed dead. Back home, brother Tommy  steps in to look over Sam’s wife, Grace, and two children. Sam’s surprise homecoming triggers domestic mayhem.","['helicopter', 'go', 'fourth', 'tour', 'duty', 'afghanistan', 'marine', 'sam', 'cahill', 'presume', 'dead', 'back', 'home', 'brother', 'tommy', 'step', 'look', 'sam', 'wife', 'grace', 'two', 'child', 'sam', 'surprise', 'homecoming', 'trigger', 'domestic', 'mayhem']",helicopter fourth tour duty afghanistan marine sam cahill presume dead back home brother tommy step look sam wife grace two child sam surprise homecoming trigger domestic mayhem
Agent Cody Banks 2: Destination London,['Comedy'],Kevin Allen,"With all-new gadgets, high-flying action, exciting chases and a wisecracking new handler, Derek (Anthony Anderson), Cody has to retrieve the device before the world's leaders fall under the evil control of a diabolical villain.","['allnew', 'gadget', 'highflying', 'action', 'excite', 'chase', 'wisecrack', 'new', 'handler', 'derek', 'anthony', 'anderson', 'cody', 'retrieve', 'device', 'world', 'leader', 'fall', 'evil', 'control', 'diabolical', 'villain']",allnew gadget highflying action excite chase wisecrack new handler derek anthony anderson cody retrieve device world leader fall evil control diabolical villain
New Year's Eve,"['Comedy', 'Romance']",Garry Marshall,The lives of several couples and singles in New York intertwine over the course of New Year's Eve.,"['life', 'several', 'couple', 'single', 'new', 'york', 'intertwine', 'course', 'new', 'year', 'eve']",life several couple single new york intertwine course new year eve
Original Sin,"['Drama', 'Thriller', 'Mystery']",Michael Cristofer,"A young man is plunged into a life of subterfuge, deceit and mistaken identity in pursuit of a femme fatale whose heart is never quite within his grasp","['young', 'man', 'plunge', 'life', 'subterfuge', 'deceit', 'mistaken', 'identity', 'pursuit', 'femme', 'fatale', 'whose', 'heart', 'never', 'quite', 'within', 'grasp']",young man plunge life subterfuge deceit mistaken identity pursuit femme fatale whose heart never quite within grasp
The Raven,"['Crime', 'Thriller', 'Mystery']",James McTeigue,"A fictionalized account of the last days of Edgar Allan Poe's life, in which the poet is in pursuit of a serial killer whose murders mirror those in the writer's stories.","['fictionalized', 'account', 'last', 'day', 'edgar', 'allan', 'poes', 'life', 'poet', 'pursuit', 'serial', 'killer', 'whose', 'murder', 'mirror', 'writer', 'story']",fictionalized account last day edgar allan poes life poet pursuit serial killer whose murder mirror writer story
Welcome to Mooseport,['Comedy'],Donald Petrie,"A US president (Gene Hackman) who has retired after two terms in office returns to his hometown of Mooseport, Maine and decides to run for Mayor against another local candidate (Ray Romano).","['us', 'president', 'gene', 'hackman', 'retire', 'two', 'term', 'office', 'return', 'hometown', 'mooseport', 'maine', 'decide', 'run', 'mayor', 'another', 'local', 'candidate', 'ray', 'romano']",president gene hackman retire two term office return hometown mooseport maine decide run mayor another local candidate ray romano
Highlander: The Final Dimension,"['Action', 'Fantasy', 'Science Fiction']",Andrew Morahan,"Starts off in the 15th century, with Connor McLeod (Christopher Lambert) training with another immortal swordsman, the Japanese sorcerer Nakano (Mako). When an evil immortal named Kane (Mario Van Peebles) kills the old wizard, the resulting battle leaves him buried in an underground cave. When Kane resurfaces in the 20th century to create havoc, it's up to McLeod to stop him.","['start', '15th', 'century', 'connor', 'mcleod', 'christopher', 'lambert', 'training', 'another', 'immortal', 'swordsman', 'japanese', 'sorcerer', 'nakano', 'mako', 'evil', 'immortal', 'name', 'kane', 'mario', 'van', 'peebles', 'kill', 'old', 'wizard', 'resulting', 'battle', 'leave', 'bury', 'underground', 'cave', 'kane', 'resurfaces', '20th', 'century', 'create', 'havoc', 'mcleod', 'stop']",start 15th century connor mcleod christopher lambert training another immortal swordsman japanese sorcerer nakano mako evil immortal name kane mario van peebles kill old wizard resulting battle leave bury underground cave kane resurfaces 20th century create havoc mcleod stop
Blood and Wine,"['Crime', 'Drama', 'Thriller']",Bob Rafelson,"A man who has failed as a father and husband commits a heist to make money for his fledging business, but things become complicated when his wife interferes.","['man', 'fail', 'father', 'husband', 'commits', 'heist', 'make', 'money', 'fledging', 'business', 'thing', 'become', 'complicate', 'wife', 'interferes']",man fail father husband commits heist make money fledging business thing become complicate wife interferes
Snow White: A Tale of Terror,"['Fantasy', 'Horror']",Michael Cohn,"Based somewhat more authentically on the Grimm Brothers' story of a young woman who is unliked by her stepmother, the film includes the talking mirror, a poisoned apple, and some ruffian gold (not diamond) miners (and they aren't dwarfs or cute). It takes place at the time of the Crusades, and depicts the attitudes of the wealthy and the peasant classes toward one another.","['base', 'somewhat', 'authentically', 'grimm', 'brother', 'story', 'young', 'woman', 'unliked', 'stepmother', 'film', 'include', 'talk', 'mirror', 'poison', 'apple', 'ruffian', 'gold', 'diamond', 'miner', 'arent', 'dwarf', 'cute', 'take', 'place', 'time', 'crusade', 'depict', 'attitude', 'wealthy', 'peasant', 'class', 'toward', 'one', 'another']",base somewhat authentically grimm brother story young woman unliked stepmother film include talk mirror poison apple ruffian gold diamond miner arent dwarf cute take place time crusade depict attitude wealthy peasant class toward one another
The Curse of the Jade Scorpion,"['Comedy', 'Crime', 'Mystery']",Woody Allen,"CW Briggs is a veteran insurance investigator, with many successes. Betty Ann Fitzgerald is a new employee in the company he works for, with the task of reorganizing the office. They don't like each other - or at least that's what they think. During a night out with the rest of the office employees, they go to watch Voltan, a magician who secretly hypnotizes both of them.","['cw', 'briggs', 'veteran', 'insurance', 'investigator', 'many', 'success', 'betty', 'ann', 'fitzgerald', 'new', 'employee', 'company', 'work', 'task', 'reorganize', 'office', 'dont', 'like', 'least', 'thats', 'think', 'night', 'rest', 'office', 'employee', 'go', 'watch', 'voltan', 'magician', 'secretly', 'hypnotize']",briggs veteran insurance investigator many success betty ann fitzgerald new employee company work task reorganize office dont like least thats think night rest office employee watch voltan magician secretly hypnotize
Accidental Love,"['Romance', 'Comedy']",David O. Russell,"A small town waitress gets a nail accidentally lodged in her head causing unpredictable behavior that leads her to Washington, DC.  Sparks fly when she meets a clueless young senator who takes up her cause - but what happens when love interferes with what you stand for?","['small', 'town', 'waitress', 'get', 'nail', 'accidentally', 'lodge', 'head', 'cause', 'unpredictable', 'behavior', 'lead', 'washington', 'dc', 'spark', 'fly', 'meet', 'clueless', 'young', 'senator', 'take', 'cause', 'happen', 'love', 'interfere', 'stand']",small town waitress get nail accidentally lodge head cause unpredictable behavior lead washington spark fly meet clueless young senator take cause happen love interfere stand
Flipper,"['Adventure', 'Family']",Alan Shapiro,"Sandy Ricks is sent by his mom to Coral Key, a rustic island in the Florida keys, to spend the summer with his uncle Porter Ricks. Sandy dislikes everything about his new environment until a new friend comes into his life, a dolphin named Flipper, that brings uncle and nephew together and leads Sandy on the summer adventure of a lifetime.","['sandy', 'rick', 'send', 'mom', 'coral', 'key', 'rustic', 'island', 'florida', 'key', 'spend', 'summer', 'uncle', 'porter', 'rick', 'sandy', 'dislike', 'everything', 'new', 'environment', 'new', 'friend', 'come', 'life', 'dolphin', 'name', 'flipper', 'bring', 'uncle', 'nephew', 'together', 'lead', 'sandy', 'summer', 'adventure', 'lifetime']",sandy rick send mom coral key rustic island florida key spend summer uncle porter rick sandy dislike everything new environment new friend come life dolphin name flipper bring uncle nephew together lead sandy summer adventure lifetime
